学号,姓名,性别,年级,班级,语文,数学,英语,综合理科,体育,总分,平均分
S00410,学生_0410,女,高二,C班,76,72,79,76,100,403,80.6
S00411,学生_0411,男,高二,B班,78,68,97,70,71,384,76.8
S00412,学生_0412,女,高三,C班,89,62,51,77,93,372,74.4
S00413,学生_0413,女,高二,A班,68,67,93,34,83,345,69.0
S00414,学生_0414,男,高一,C班,80,60,73,65,91,369,73.8
S00415,学生_0415,男,高一,B班,87,75,60,73,88,383,76.6
S00416,学生_0416,男,高一,A班,83,65,54,53,79,334,66.8
S00417,学生_0417,男,高一,B班,79,77,69,75,86,386,77.2
S00418,学生_0418,女,高一,B班,88,56,83,67,70,364,72.8
S00419,学生_0419,女,高一,C班,50,78,70,94,89,381,76.2
S00420,学生_0420,女,高一,B班,84,85,91,92,87,439,87.8
S00421,学生_0421,女,高一,C班,71,51,53,63,90,328,65.6
S00422,学生_0422,女,高三,A班,59,79,71,67,93,369,73.8
S00423,学生_0423,女,高一,C班,83,89,55,68,87,382,76.4
S00424,学生_0424,男,高二,A班,91,60,76,63,86,376,75.2
S00425,学生_0425,女,高二,C班,76,95,83,72,77,403,80.6
S00426,学生_0426,男,高三,B班,87,80,66,59,79,371,74.2
S00427,学生_0427,男,高一,C班,94,66,38,54,94,346,69.2
S00428,学生_0428,女,高二,C班,91,74,74,78,96,413,82.6
S00429,学生_0429,男,高三,A班,94,81,77,78,83,413,82.6
S00430,学生_0430,女,高三,B班,85,75,77,58,85,380,76.0
S00431,学生_0431,男,高三,C班,78,81,88,82,77,406,81.2
S00432,学生_0432,女,高一,B班,61,63,58,61,94,337,67.4
S00433,学生_0433,男,高一,C班,75,77,80,73,90,395,79.0
S00434,学生_0434,女,高二,C班,69,58,87,81,100,395,79.0
S00435,学生_0435,女,高三,B班,99,73,48,69,77,366,73.2
S00436,学生_0436,女,高二,C班,76,64,76,76,81,373,74.6
S00437,学生_0437,女,高二,B班,79,66,65,62,86,358,71.6
S00438,学生_0438,女,高一,C班,83,89,70,67,90,399,79.8
S00439,学生_0439,男,高三,A班,78,88,76,67,83,392,78.4
S00440,学生_0440,男,高一,B班,94,82,65,59,78,378,75.6
S00441,学生_0441,男,高一,C班,71,61,63,67,92,354,70.8
S00442,学生_0442,女,高二,C班,79,71,72,48,90,360,72.0
S00443,学生_0443,男,高二,A班,70,89,57,63,77,356,71.2
S00444,学生_0444,女,高一,B班,64,76,57,66,95,358,71.6
S00445,学生_0445,女,高一,C班,71,100,80,66,94,411,82.2
S00446,学生_0446,男,高二,A班,77,79,57,66,86,365,73.0
S00447,学生_0447,男,高一,C班,73,77,80,69,85,384,76.8
S00448,学生_0448,女,高二,B班,71,71,78,76,89,385,77.0
S00449,学生_0449,男,高一,C班,63,76,49,82,78,348,69.6
S00450,学生_0450,女,高二,C班,77,73,63,60,85,358,71.6
S00451,学生_0451,女,高二,C班,62,83,87,53,67,352,70.4
S00452,学生_0452,女,高一,C班,85,86,59,55,92,377,75.4
S00453,学生_0453,女,高一,A班,78,65,65,63,72,343,68.6
S00454,学生_0454,女,高一,A班,63,59,78,65,97,362,72.4
S00455,学生_0455,男,高一,B班,74,52,82,59,82,349,69.8
S00456,学生_0456,男,高三,A班,70,81,68,51,83,353,70.6
S00457,学生_0457,女,高一,A班,81,61,64,63,79,348,69.6
S00458,学生_0458,女,高三,B班,91,49,90,72,82,384,76.8
S00459,学生_0459,男,高一,A班,59,79,94,78,96,406,81.2
S00460,学生_0460,男,高二,A班,79,100,84,62,65,390,78.0
S00461,学生_0461,女,高三,B班,76,74,73,64,95,382,76.4
S00462,学生_0462,男,高二,B班,84,85,61,57,87,374,74.8
S00463,学生_0463,女,高二,B班,80,75,61,69,75,360,72.0
S00464,学生_0464,男,高二,C班,70,73,78,58,76,355,71.0
S00465,学生_0465,女,高一,C班,74,86,77,78,98,413,82.6
S00466,学生_0466,男,高三,B班,70,71,90,44,77,352,70.4
S00467,学生_0467,女,高三,B班,88,78,80,64,75,385,77.0
S00468,学生_0468,男,高三,B班,78,78,52,74,94,376,75.2
S00469,学生_0469,男,高一,C班,97,66,85,72,87,407,81.4
S00470,学生_0470,女,高三,C班,77,86,59,100,77,399,79.8
S00471,学生_0471,男,高三,A班,70,72,67,74,86,369,73.8
S00472,学生_0472,女,高一,A班,62,65,75,55,76,333,66.6
S00473,学生_0473,男,高一,B班,59,81,97,68,93,398,79.6
S00474,学生_0474,女,高三,C班,62,64,100,45,93,364,72.8
S00475,学生_0475,男,高二,C班,80,75,79,68,89,391,78.2
S00476,学生_0476,女,高三,C班,83,74,69,58,87,371,74.2
S00477,学生_0477,男,高一,B班,62,88,78,82,99,409,81.8
S00478,学生_0478,女,高三,A班,86,80,83,62,84,395,79.0
S00479,学生_0479,男,高一,B班,73,74,67,68,75,357,71.4
S00480,学生_0480,女,高一,A班,79,84,95,61,88,407,81.4
S00481,学生_0481,女,高一,A班,94,91,74,94,100,453,90.6
S00482,学生_0482,女,高三,B班,86,81,78,65,76,386,77.2
S00483,学生_0483,男,高二,A班,75,75,80,95,82,407,81.4
S00484,学生_0484,女,高二,A班,69,59,77,81,88,374,74.8
S00485,学生_0485,男,高二,C班,56,62,82,76,84,360,72.0
S00486,学生_0486,女,高三,A班,70,71,63,75,77,356,71.2
S00487,学生_0487,男,高二,B班,75,67,64,75,93,374,74.8
S00488,学生_0488,女,高三,B班,68,72,57,43,100,340,68.0
S00489,学生_0489,男,高二,A班,76,75,77,66,86,380,76.0
S00490,学生_0490,男,高二,C班,78,81,82,81,77,399,79.8
S00491,学生_0491,女,高二,C班,75,74,77,69,72,367,73.4
S00492,学生_0492,男,高一,A班,71,80,93,50,87,381,76.2
S00493,学生_0493,男,高三,A班,79,75,71,69,93,387,77.4
S00494,学生_0494,女,高二,B班,82,51,80,93,88,394,78.8
S00495,学生_0495,男,高一,A班,67,63,57,87,84,358,71.6
S00496,学生_0496,男,高三,C班,92,73,66,69,80,380,76.0
S00497,学生_0497,男,高二,A班,77,60,81,83,76,377,75.4
S00498,学生_0498,女,高二,B班,78,82,83,64,91,398,79.6
S00499,学生_0499,男,高三,B班,85,93,68,46,92,384,76.8
S00500,学生_0500,女,高二,B班,80,89,71,57,72,369,73.8
