日期,城市,最高温_℃,最低温_℃,湿度_%,风速_m/s,天气
2024-08-31,哈尔滨,18.3,12.3,57,7.5,小雨
2024-08-31,昆明,24.8,18.8,54,1.4,小雨
2024-09-01,哈尔滨,16.8,10.8,64,0.2,大雨
2024-09-01,北京,17.6,11.6,65,0.3,阴
2024-09-02,哈尔滨,16.6,10.6,61,3.7,多云
2024-09-02,北京,16.8,10.8,82,0.2,多云
2024-09-03,北京,19.1,13.1,69,6.0,多云
2024-09-03,泸州,28.9,22.9,73,0.8,晴
2024-09-04,昆明,24.4,18.4,74,5.7,晴
2024-09-04,泸州,28.5,22.5,66,3.7,阴
2024-09-05,泸州,34.4,28.4,67,5.1,晴
2024-09-05,哈尔滨,15.8,9.8,54,0.6,晴
2024-09-06,哈尔滨,18.0,12.0,72,2.3,阴
2024-09-06,北京,22.9,16.9,61,0.2,晴
