订单号,用户ID,商品类别,单价,数量,支付方式,评分,销售额,日期
ORD0000369,4163,数码,759.76,3,支付宝,4,2279.28,2025-04-03
ORD0000370,3226,美妆,1209.75,5,支付宝,2,6048.75,2025-04-03
ORD0000371,2079,服装,168.46,4,支付宝,3,673.84,2025-04-03
ORD0000372,2178,服装,1368.68,2,微信,3,2737.36,2025-04-03
ORD0000373,2695,图书,1864.87,5,货到付款,1,9324.35,2025-04-04
ORD0000374,1110,运动,1154.96,2,银行卡,2,2309.92,2025-04-04
ORD0000375,3184,美妆,260.76,3,微信,4,782.28,2025-04-04
ORD0000376,3279,运动,1167.0,1,支付宝,5,1167.0,2025-04-04
ORD0000377,4039,运动,1534.24,5,支付宝,1,7671.2,2025-04-05
ORD0000378,1467,美妆,818.3,5,支付宝,4,4091.5,2025-04-05
ORD0000379,3779,数码,1759.99,2,微信,5,3519.98,2025-04-05
ORD0000380,3528,图书,1300.2,3,银行卡,3,3900.6,2025-04-05
ORD0000381,4139,图书,1798.6,4,支付宝,3,7194.4,2025-04-06
ORD0000382,1813,食品,1250.11,3,支付宝,2,3750.33,2025-04-06
ORD0000383,2272,图书,271.04,5,支付宝,5,1355.2,2025-04-06
ORD0000384,1993,服装,625.91,4,支付宝,3,2503.64,2025-04-06
ORD0000385,3031,数码,411.29,3,微信,3,1233.87,2025-04-07
ORD0000386,1322,美妆,1817.65,1,支付宝,2,1817.65,2025-04-07
ORD0000387,3969,图书,1522.41,2,微信,4,3044.82,2025-04-07
ORD0000388,1903,数码,1355.32,3,银行卡,3,4065.96,2025-04-07
ORD0000389,2541,图书,608.55,3,微信,1,1825.65,2025-04-08
ORD0000390,2999,美妆,375.98,1,支付宝,1,375.98,2025-04-08
ORD0000391,2815,家居,1514.56,5,支付宝,4,7572.8,2025-04-08
ORD0000392,4503,美妆,953.05,2,微信,5,1906.1,2025-04-08
ORD0000393,4558,美妆,459.02,3,支付宝,2,1377.06,2025-04-09
ORD0000394,3653,美妆,1236.42,4,支付宝,1,4945.68,2025-04-09
ORD0000395,3476,图书,90.13,3,微信,1,270.39,2025-04-09
ORD0000396,4340,食品,658.69,2,微信,4,1317.38,2025-04-09
ORD0000397,4780,美妆,941.91,3,微信,5,2825.73,2025-04-10
ORD0000398,4608,服装,304.2,1,支付宝,5,304.2,2025-04-10
ORD0000399,1147,服装,1968.48,3,银行卡,4,5905.44,2025-04-10
ORD0000400,2141,数码,425.82,3,支付宝,1,1277.46,2025-04-10
ORD0000401,1849,食品,269.19,4,支付宝,2,1076.76,2025-04-11
ORD0000402,1366,数码,414.75,1,微信,1,414.75,2025-04-11
ORD0000403,3897,服装,1539.64,1,微信,5,1539.64,2025-04-11
ORD0000404,2089,运动,856.27,3,银行卡,1,2568.81,2025-04-11
ORD0000405,3038,服装,1134.57,4,微信,2,4538.28,2025-04-12
ORD0000406,3860,家居,51.69,3,银行卡,3,155.07,2025-04-12
ORD0000407,4441,美妆,78.39,3,银行卡,1,235.17,2025-04-12
ORD0000408,1174,运动,896.69,2,微信,4,1793.38,2025-04-12
ORD0000409,2854,服装,1634.31,2,微信,3,3268.62,2025-04-13
ORD0000410,1587,图书,1770.73,4,微信,4,7082.92,2025-04-13
ORD0000411,1494,图书,182.37,5,货到付款,4,911.85,2025-04-13
ORD0000412,4020,数码,1080.76,2,微信,4,2161.52,2025-04-13
ORD0000413,2137,运动,1826.41,5,支付宝,1,9132.05,2025-04-14
ORD0000414,4182,数码,781.62,1,微信,5,781.62,2025-04-14
ORD0000415,2784,美妆,1659.99,2,支付宝,3,3319.98,2025-04-14
ORD0000416,4510,美妆,275.83,2,支付宝,2,551.66,2025-04-14
ORD0000417,4786,家居,1870.49,4,支付宝,5,7481.96,2025-04-15
ORD0000418,2170,食品,1504.56,5,微信,1,7522.8,2025-04-15
ORD0000419,1034,数码,1882.31,2,银行卡,4,3764.62,2025-04-15
ORD0000420,1998,美妆,1355.76,2,支付宝,2,2711.52,2025-04-15
ORD0000421,2332,数码,732.75,4,支付宝,3,2931.0,2025-04-16
ORD0000422,3585,美妆,1876.04,4,支付宝,5,7504.16,2025-04-16
ORD0000423,3797,服装,558.03,5,微信,5,2790.15,2025-04-16
ORD0000424,2037,数码,670.62,1,支付宝,2,670.62,2025-04-16
ORD0000425,1373,服装,1403.88,1,支付宝,1,1403.88,2025-04-17
ORD0000426,3604,数码,1532.19,3,支付宝,3,4596.57,2025-04-17
ORD0000427,2451,食品,1858.58,2,微信,2,3717.16,2025-04-17
ORD0000428,2751,家居,417.27,5,支付宝,4,2086.35,2025-04-17
ORD0000429,3280,图书,1597.2,2,微信,3,3194.4,2025-04-18
ORD0000430,1704,图书,1478.94,5,支付宝,5,7394.7,2025-04-18
ORD0000431,1562,图书,136.79,5,微信,2,683.95,2025-04-18
ORD0000432,3986,服装,780.13,5,支付宝,5,3900.65,2025-04-18
ORD0000433,3934,运动,572.35,2,微信,5,1144.7,2025-04-19
ORD0000434,3773,美妆,615.56,4,支付宝,5,2462.24,2025-04-19
ORD0000435,4734,图书,1965.08,2,微信,1,3930.16,2025-04-19
ORD0000436,4511,食品,1288.45,5,银行卡,5,6442.25,2025-04-19
ORD0000437,4573,图书,1437.43,3,银行卡,4,4312.29,2025-04-20
ORD0000438,4346,数码,1952.49,1,微信,4,1952.49,2025-04-20
ORD0000439,2873,服装,760.19,5,微信,3,3800.95,2025-04-20
ORD0000440,3123,运动,1604.84,3,银行卡,5,4814.52,2025-04-20
ORD0000441,1438,数码,874.23,4,微信,5,3496.92,2025-04-21
ORD0000442,4803,运动,1739.49,5,支付宝,2,8697.45,2025-04-21
ORD0000443,2883,数码,369.25,3,银行卡,1,1107.75,2025-04-21
ORD0000444,2979,数码,1894.94,5,支付宝,3,9474.7,2025-04-21
ORD0000445,1698,家居,445.06,2,支付宝,5,890.12,2025-04-22
ORD0000446,2312,家居,658.79,3,支付宝,2,1976.37,2025-04-22
ORD0000447,3962,美妆,1514.04,2,支付宝,1,3028.08,2025-04-22
ORD0000448,2563,服装,793.12,2,微信,3,1586.24,2025-04-22
ORD0000449,3938,食品,1219.69,3,支付宝,3,3659.07,2025-04-23
ORD0000450,1691,食品,894.2,1,支付宝,5,894.2,2025-04-23
ORD0000451,3300,食品,1486.55,3,支付宝,3,4459.65,2025-04-23
ORD0000452,4197,数码,464.07,1,微信,2,464.07,2025-04-23
ORD0000453,2200,家居,126.18,5,微信,3,630.9,2025-04-24
ORD0000454,4108,服装,606.49,5,支付宝,4,3032.45,2025-04-24
ORD0000455,3457,数码,953.35,3,支付宝,2,2860.05,2025-04-24
ORD0000456,2634,运动,344.11,5,支付宝,1,1720.55,2025-04-24
ORD0000457,2633,家居,715.63,4,银行卡,1,2862.52,2025-04-25
ORD0000458,1126,家居,805.51,2,微信,5,1611.02,2025-04-25
ORD0000459,2506,图书,124.06,2,微信,5,248.12,2025-04-25
ORD0000460,2191,图书,1170.16,1,支付宝,4,1170.16,2025-04-25
ORD0000461,3639,服装,1768.95,5,微信,1,8844.75,2025-04-26
ORD0000462,1293,运动,311.73,1,微信,1,311.73,2025-04-26
ORD0000463,4916,服装,1199.0,2,支付宝,1,2398.0,2025-04-26
ORD0000464,4709,服装,1332.13,2,支付宝,1,2664.26,2025-04-26
ORD0000465,2366,数码,844.0,5,支付宝,3,4220.0,2025-04-27
ORD0000466,2019,美妆,1404.45,4,银行卡,2,5617.8,2025-04-27
ORD0000467,3357,服装,826.89,4,银行卡,2,3307.56,2025-04-27
ORD0000468,3709,图书,1013.67,5,微信,4,5068.35,2025-04-27
ORD0000469,3575,美妆,24.53,5,微信,3,122.65,2025-04-28
ORD0000470,3587,数码,1385.8,1,支付宝,1,1385.8,2025-04-28
ORD0000471,1418,美妆,1325.38,5,微信,1,6626.9,2025-04-28
ORD0000472,1443,食品,86.28,4,微信,5,345.12,2025-04-28
ORD0000473,1684,运动,742.39,5,支付宝,5,3711.95,2025-04-29
ORD0000474,4629,美妆,1957.29,1,银行卡,4,1957.29,2025-04-29
ORD0000475,3887,服装,846.79,1,支付宝,1,846.79,2025-04-29
ORD0000476,3283,数码,1008.32,1,支付宝,4,1008.32,2025-04-29
ORD0000477,2462,运动,1819.84,1,微信,3,1819.84,2025-04-30
ORD0000478,3261,服装,1436.61,3,微信,2,4309.83,2025-04-30
ORD0000479,1084,运动,1167.7,5,微信,1,5838.5,2025-04-30
ORD0000480,3841,图书,1596.81,2,支付宝,3,3193.62,2025-04-30
ORD0000481,2767,食品,1729.21,5,银行卡,1,8646.05,2025-05-01
ORD0000482,1084,图书,918.7,3,微信,5,2756.1,2025-05-01
ORD0000483,2944,服装,954.94,1,微信,4,954.94,2025-05-01
ORD0000484,4560,服装,777.79,3,货到付款,5,2333.37,2025-05-01
ORD0000485,3112,服装,1932.78,4,微信,2,7731.12,2025-05-02
ORD0000486,2669,家居,1396.63,4,支付宝,5,5586.52,2025-05-02
ORD0000487,1662,食品,175.44,5,微信,1,877.2,2025-05-02
ORD0000488,1626,运动,1726.41,5,支付宝,5,8632.05,2025-05-02
ORD0000489,1063,服装,965.78,2,支付宝,1,1931.56,2025-05-03
ORD0000490,4414,服装,146.66,2,支付宝,2,293.32,2025-05-03
ORD0000491,3986,运动,1103.34,4,货到付款,5,4413.36,2025-05-03
ORD0000492,4946,图书,839.68,1,支付宝,4,839.68,2025-05-03
ORD0000493,1918,图书,1755.83,3,微信,4,5267.49,2025-05-04
ORD0000494,2375,服装,415.67,2,支付宝,4,831.34,2025-05-04
ORD0000495,2181,数码,1653.82,2,微信,5,3307.64,2025-05-04
ORD0000496,2612,家居,1119.2,1,微信,5,1119.2,2025-05-04
ORD0000497,1490,图书,118.53,1,微信,5,118.53,2025-05-05
ORD0000498,4729,数码,1943.0,5,支付宝,1,9715.0,2025-05-05
ORD0000499,2878,家居,1029.54,3,微信,2,3088.62,2025-05-05
ORD0000500,4534,服装,588.48,1,货到付款,4,588.48,2025-05-05
