客户ID,在网月数,月消费_元,累计消费_元,订购服务数,客服呼叫次数,合约类型,套餐名称,是否流失
C000455,14,119.65,1706.01,4,2,月付,基础套餐,0
C000456,4,445.0,1957.29,5,3,年付,标准套餐,1
C000457,18,362.77,6584.85,6,3,月付,基础套餐,1
C000458,52,438.18,22813.05,6,2,月付,畅享套餐,0
C000459,38,210.23,8012.69,3,1,月付,基础套餐,0
C000460,20,177.3,3686.0,5,1,月付,畅享套餐,0
C000461,44,208.88,9191.94,2,2,月付,基础套餐,0
C000462,51,38.72,2068.98,5,2,年付,标准套餐,0
C000463,19,370.61,7065.36,1,3,月付,基础套餐,1
C000464,68,194.39,13388.45,3,0,月付,畅享套餐,0
C000465,66,177.26,11890.85,3,4,月付,基础套餐,0
C000466,13,311.13,4236.44,1,3,年付,标准套餐,0
C000467,62,235.04,14660.87,5,0,年付,尊享套餐,0
C000468,61,491.0,30079.9,7,2,月付,畅享套餐,0
C000469,30,197.44,6043.14,1,0,年付,尊享套餐,0
C000470,30,318.53,9625.91,7,2,年付,标准套餐,0
C000471,51,176.48,9089.29,4,1,月付,基础套餐,0
C000472,48,495.58,23800.7,1,4,年付,标准套餐,0
C000473,33,239.2,8052.74,7,1,年付,尊享套餐,0
C000474,19,328.04,6280.92,5,0,年付,标准套餐,0
C000475,71,89.56,6450.87,7,2,月付,基础套餐,0
C000476,57,374.52,21443.76,1,2,月付,畅享套餐,0
C000477,19,156.53,3086.21,2,1,月付,基础套餐,0
C000478,41,240.85,10038.43,6,2,年付,标准套餐,0
C000479,42,445.07,18831.32,1,3,两年付,旗舰套餐,0
C000480,52,486.16,25412.93,6,2,月付,畅享套餐,1
C000481,4,229.55,1023.55,1,1,月付,基础套餐,0
C000482,4,422.36,1708.63,5,0,年付,标准套餐,1
C000483,5,55.07,355.75,4,2,年付,尊享套餐,0
C000484,41,428.36,17754.22,4,2,两年付,商务套餐,0
C000485,61,325.87,20077.18,6,1,年付,尊享套餐,0
C000486,55,259.69,14429.05,5,3,两年付,商务套餐,0
C000487,13,448.28,5873.14,7,1,月付,基础套餐,0
C000488,14,427.31,6002.72,5,4,月付,畅享套餐,0
C000489,60,169.56,10256.55,5,3,月付,基础套餐,0
C000490,25,402.0,10221.31,2,4,年付,标准套餐,1
C000491,44,76.76,3521.81,3,3,月付,基础套餐,0
C000492,10,416.7,4343.78,1,0,月付,畅享套餐,1
C000493,71,347.46,24792.82,5,3,月付,基础套餐,0
C000494,50,71.3,3591.07,5,1,月付,畅享套餐,0
C000495,44,351.05,15469.16,5,0,两年付,旗舰套餐,0
C000496,14,302.84,4249.36,4,2,月付,畅享套餐,0
C000497,15,309.44,4755.02,5,3,月付,基础套餐,1
C000498,16,166.71,2715.94,1,3,年付,标准套餐,0
C000499,2,155.25,457.38,7,0,月付,基础套餐,0
C000500,30,388.39,11788.95,7,0,年付,标准套餐,1
